,surgery,Age,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion,cp_data,site of lesion,type,subtype,specific code
174,1.0,1,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,1,1,2,2.0,2.0,1,8
175,1.0,1,38.2,60.0,30.0,1.0,1,3,1,3,3,1,2,1.0,6,3,2,48,66.0,2,2.0,1,1,2,6.0,1.0,1,2
176,1.0,1,38.0,68.0,14.0,3.0,1,4,1,4,3,2,2,1.0,4,3,4,42,7.3,2,2.8,2,1,1,4.0,2.0,1,5
177,1.0,1,38.0,60.0,30.0,3.0,3,4,2,5,4,4,1,1.0,6,4,4,45,70.0,3,2.0,1,1,2,6.0,1.0,1,1
178,2.0,1,38.5,100.0,29.0,3.0,3,5,2,4,3,4,2,1.0,6,4,5,42,7.3,2,2.0,2,2,1,1.0,1.0,1,1
179,1.0,1,38.4,84.0,30.0,3.0,1,5,2,4,3,3,2,3.0,6,4,4,47,7.5,3,2.0,2,1,2,2.0,3.0,1,4
180,2.0,1,37.8,48.0,14.0,3.0,1,1,1,3,3,2,1,3.0,5,1,4,35,7.5,2,2.0,1,2,1,3.0,1.0,1,1
181,1.0,1,38.0,60.0,24.0,3.0,3,6,2,5,3,4,1,1.0,6,3,4,68,7.8,2,2.0,2,1,2,2.0,2.0,1,5
182,2.0,1,37.8,56.0,16.0,1.0,1,2,1,2,1,1,2,1.0,6,1,4,44,68.0,1,1.0,1,2,2,0.0,1.0,1,4
183,2.0,1,38.2,68.0,32.0,2.0,2,2,1,1,1,1,3,1.0,6,1,1,43,65.0,2,2.0,1,2,2,0.0,1.0,1,4
184,1.0,1,38.5,120.0,60.0,4.0,3,6,2,3,3,2,2,1.0,6,3,4,54,7.3,2,2.0,1,1,2,5.0,4.0,1,4
185,1.0,1,39.3,64.0,90.0,2.0,3,1,1,3,3,1,1,2.0,6,3,4,39,6.7,2,2.0,1,1,2,2.0,1.0,1,1
186,1.0,1,38.4,80.0,30.0,4.0,3,1,1,3,3,3,3,3.0,6,4,5,32,6.1,3,4.3,1,1,1,7.0,2.0,1,9
187,1.0,1,38.5,60.0,29.0,1.0,1,3,1,3,1,1,2,1.0,6,3,4,33,53.0,1,2.0,1,1,2,4.0,1.0,1,1
188,1.0,1,38.3,60.0,16.0,3.0,1,1,1,2,1,1,2,2.0,3,1,4,30,6.0,1,3.0,1,1,2,3.0,1.0,1,1
189,1.0,1,37.1,40.0,8.0,3.0,1,4,1,3,3,1,1,1.0,6,3,3,23,6.7,3,2.0,1,1,1,3.0,1.0,3,3
190,2.0,2,38.0,100.0,44.0,2.0,1,1,1,4,1,1,2,1.0,6,1,4,37,4.7,2,2.0,1,2,2,7.0,1.0,1,1
191,1.0,1,38.2,48.0,18.0,1.0,1,1,1,3,3,3,1,2.0,6,4,4,48,74.0,1,2.0,1,1,2,5.0,1.0,1,1
192,1.0,1,38.0,60.0,48.0,3.0,3,4,2,4,3,4,2,1.0,6,3,4,58,7.6,2,2.0,2,1,2,3.0,2.0,1,5
193,2.0,1,37.9,88.0,24.0,1.0,1,2,1,2,2,1,2,1.0,6,4,1,37,56.0,2,2.0,1,2,2,0.0,1.0,1,4
194,2.0,1,38.0,44.0,12.0,3.0,1,1,1,3,1,2,2,1.0,6,1,4,42,64.0,2,2.0,1,2,2,0.0,1.0,1,4
195,2.0,1,38.5,60.0,20.0,1.0,1,5,2,2,2,1,2,1.0,6,2,3,63,7.5,2,2.3,2,2,1,3.0,1.0,1,4
196,2.0,1,38.5,96.0,36.0,3.0,3,3,2,2,4,2,1,2.0,6,4,5,70,8.5,2,2.0,2,1,1,1.0,4.0,1,4
197,2.0,1,38.3,60.0,20.0,1.0,1,1,2,1,3,1,2,1.0,6,3,4,34,66.0,2,2.0,1,2,2,0.0,1.0,1,4
198,2.0,1,38.5,60.0,40.0,3.0,1,2,1,2,1,2,2,1.0,6,3,2,49,59.0,2,2.0,1,2,2,0.0,1.0,1,4
199,1.0,1,37.3,48.0,12.0,1.0,1,3,1,3,1,3,2,1.0,6,3,3,40,6.6,2,2.0,1,1,1,3.0,2.0,1,5
200,1.0,1,38.5,86.0,29.0,1.0,1,3,1,4,4,3,2,1.0,6,3,5,45,7.4,1,3.4,2,1,1,3.0,2.0,1,9
201,1.0,1,37.5,48.0,40.0,3.0,1,3,1,3,3,2,1,1.0,6,3,5,41,55.0,3,2.0,2,1,2,2.0,2.0,1,8
202,2.0,1,37.2,36.0,9.0,1.0,1,1,1,2,3,1,2,1.0,6,4,1,35,5.7,2,2.0,1,2,2,3.0,1.0,1,1
203,1.0,1,39.2,60.0,23.0,3.0,1,3,1,4,4,2,2,1.0,6,3,4,36,6.6,1,3.0,1,1,1,3.0,1.0,1,5
204,2.0,1,38.5,100.0,29.0,3.0,3,5,2,4,3,4,2,1.0,6,4,5,42,7.3,2,2.0,2,2,2,4.0,1.0,2,4
205,1.0,1,38.5,96.0,30.0,2.0,3,4,2,4,4,3,2,1.0,6,3,5,50,65.0,2,2.0,1,1,2,6.0,1.0,1,1
206,1.0,1,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,45,8.7,2,2.0,2,1,2,2.0,2.0,1,8
207,1.0,1,37.8,88.0,80.0,3.0,3,5,2,3,3,3,2,3.0,6,4,5,64,89.0,2,2.0,2,1,2,3.0,2.0,1,5
208,2.0,1,37.5,44.0,10.0,3.0,1,1,1,3,1,2,2,1.0,6,3,3,43,51.0,1,1.0,1,2,2,0.0,1.0,1,4
209,1.0,1,37.9,68.0,20.0,3.0,1,2,1,2,4,2,2,1.0,6,1,5,45,4.0,3,2.8,2,1,1,5.0,4.0,1,4
210,1.0,1,38.0,86.0,24.0,4.0,3,4,1,2,4,4,1,1.0,6,4,5,45,5.5,1,10.1,2,1,1,3.0,1.0,1,1
211,1.0,2,38.9,120.0,30.0,1.0,3,2,2,3,3,3,3,1.0,3,3,4,47,6.3,1,2.0,1,2,2,2.0,1.0,2,4
212,1.0,1,37.6,45.0,12.0,3.0,1,3,1,3,2,2,2,1.0,6,1,4,39,7.0,2,1.5,1,1,1,2.0,1.0,1,2
213,2.0,1,38.6,56.0,32.0,2.0,1,1,1,1,1,1,2,1.0,6,2,4,40,7.0,2,2.1,1,2,1,0.0,1.0,1,4
214,1.0,1,37.8,40.0,12.0,1.0,1,1,1,1,2,1,2,1.0,6,1,2,38,7.0,2,2.0,1,1,2,3.0,1.0,1,1
215,2.0,1,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,1,2,2,0.0,1.0,1,4
216,1.0,1,38.0,76.0,18.0,3.0,1,3,2,3,3,2,2,1.0,6,3,4,71,11.0,2,2.0,1,1,1,2.0,2.0,1,9
217,1.0,1,38.1,40.0,36.0,1.0,2,2,1,2,2,2,2,1.0,6,3,4,42,7.3,2,2.0,2,1,2,3.0,1.0,1,2
218,1.0,1,38.0,52.0,28.0,3.0,3,4,1,3,4,3,2,1.0,6,4,4,37,8.1,2,2.0,1,1,2,2.0,1.0,1,1
219,1.0,1,39.2,88.0,58.0,4.0,4,3,2,5,4,2,2,1.0,6,3,4,42,7.3,2,2.0,2,2,2,3.0,2.0,1,5
220,1.0,1,38.5,92.0,40.0,4.0,3,3,1,2,4,3,2,1.0,6,4,4,46,67.0,2,2.0,1,1,2,2.0,2.0,1,8
221,1.0,1,38.0,112.0,13.0,4.0,4,4,1,2,3,1,2,1.0,4,4,4,60,6.3,3,2.0,1,1,1,2.0,2.0,1,5
222,1.0,1,37.7,66.0,12.0,1.0,1,3,1,3,3,2,2,1.0,6,4,4,31,6.2,2,1.6,1,1,1,2.0,2.0,1,8
223,1.0,1,38.8,50.0,14.0,1.0,1,1,1,3,1,1,1,1.0,6,3,5,38,58.0,2,2.0,1,1,2,3.0,1.0,1,1
224,2.0,1,38.4,54.0,24.0,1.0,1,1,1,1,3,1,2,1.0,6,3,2,49,7.2,1,8.0,1,2,1,3.0,1.0,1,1
225,1.0,1,39.2,120.0,20.0,4.0,3,5,2,2,3,3,1,3.0,6,3,4,60,8.8,3,2.0,2,1,2,2.0,2.0,1,5
226,1.0,2,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,45,6.5,2,2.0,1,1,1,9.0,1.0,1,4
227,1.0,1,37.3,90.0,40.0,3.0,1,6,2,5,4,3,2,2.0,6,1,5,65,50.0,3,2.0,2,1,2,3.0,2.0,1,5
228,1.0,2,38.5,120.0,70.0,3.0,1,3,1,3,1,2,2,1.0,6,1,4,35,54.0,1,1.0,1,1,2,4.0,2.0,1,5
229,1.0,1,38.5,104.0,40.0,3.0,3,3,1,4,3,4,2,1.0,6,3,4,42,7.3,2,2.0,1,1,2,2.0,1.0,2,4
230,2.0,1,39.5,92.0,28.0,3.0,3,6,1,5,4,1,2,3.0,6,4,4,72,6.4,2,3.6,2,2,2,3.0,3.0,1,4
231,1.0,1,38.5,30.0,18.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,40,7.7,2,2.0,1,1,2,2.0,1.0,1,3
232,1.0,1,38.3,72.0,30.0,4.0,3,3,2,3,3,3,2,1.0,6,3,5,43,7.0,2,3.9,1,1,1,3.0,1.0,1,3
233,2.0,1,37.5,48.0,30.0,4.0,1,3,1,3,2,1,1,1.0,6,1,1,48,8.6,2,2.0,1,2,2,4.0,1.0,1,4
234,1.0,1,38.1,52.0,24.0,1.0,1,5,1,4,3,1,2,3.0,7,1,4,54,7.5,2,2.6,2,1,1,2.0,2.0,1,6
235,2.0,1,38.2,42.0,26.0,1.0,1,1,1,3,1,2,2,1.0,6,1,4,36,6.9,2,2.0,1,2,2,3.0,1.0,1,1
236,2.0,1,37.9,54.0,42.0,2.0,1,5,1,3,1,1,2,1.0,6,3,2,47,54.0,3,1.0,1,2,2,0.0,1.0,1,4
237,2.0,1,36.1,88.0,29.0,3.0,3,3,1,3,3,2,2,3.0,6,3,4,45,7.0,3,4.8,2,1,1,2.0,2.0,1,9
238,1.0,1,38.1,70.0,22.0,3.0,1,3,1,5,3,2,2,1.0,6,3,5,36,65.0,2,2.0,2,1,2,3.0,2.0,1,5
239,1.0,1,38.0,90.0,30.0,4.0,3,4,2,5,4,4,2,1.0,6,4,5,55,6.1,2,2.0,2,1,2,3.0,2.0,1,5
240,1.0,1,38.2,52.0,16.0,1.0,1,2,1,1,2,1,1,1.0,6,1,4,43,8.1,2,2.0,1,2,1,0.0,1.0,1,4
241,1.0,1,38.0,36.0,32.0,1.0,1,4,1,5,3,3,2,3.0,4,3,4,41,5.9,2,2.0,2,1,2,2.0,2.0,1,5
242,1.0,1,38.4,92.0,20.0,1.0,1,3,2,3,3,3,2,1.0,6,1,4,42,7.3,2,2.0,1,1,1,2.0,2.0,1,8
243,1.0,2,38.2,124.0,88.0,1.0,3,2,1,2,3,4,2,1.0,6,3,4,47,8.0,1,2.0,1,1,1,9.0,4.0,1,4
244,2.0,1,38.0,96.0,29.0,3.0,3,3,2,5,4,4,2,1.0,6,4,5,60,7.3,2,2.0,2,1,2,4.0,1.0,1,1
245,1.0,1,37.6,68.0,32.0,3.0,1,3,1,4,2,4,2,2.0,6,1,5,47,7.2,1,2.0,1,1,2,3.0,2.0,1,9
246,1.0,1,38.1,88.0,24.0,3.0,3,4,1,5,4,3,2,1.0,6,3,4,41,4.6,2,2.0,2,1,2,2.0,2.0,1,9
247,1.0,1,38.0,108.0,60.0,2.0,3,4,1,4,3,3,2,1.0,6,3,4,42,7.3,3,2.0,1,1,2,2.0,2.0,1,5
248,2.0,1,38.2,48.0,29.0,2.0,1,1,2,3,3,1,2,1.0,6,3,2,34,6.6,2,2.0,1,2,2,3.0,1.0,1,1
249,1.0,1,39.3,100.0,51.0,4.0,4,6,1,2,4,1,1,3.0,2,3,4,66,13.0,3,2.0,2,1,2,2.0,1.0,1,3
250,2.0,1,36.6,42.0,18.0,3.0,3,2,1,1,4,1,1,1.0,6,3,5,52,7.1,2,2.0,2,1,2,5.0,1.0,1,1
251,1.0,2,38.8,124.0,36.0,3.0,1,2,1,2,3,4,1,1.0,6,4,4,50,7.6,3,2.0,2,1,1,2.0,2.0,1,8
252,2.0,1,38.0,112.0,24.0,3.0,3,4,2,5,4,2,2,1.0,6,4,4,40,5.3,3,2.6,1,2,1,4.0,1.0,1,4
253,1.0,1,38.0,80.0,29.0,3.0,3,3,1,4,4,4,2,1.0,6,4,5,43,70.0,2,2.0,1,1,2,3.0,1.0,1,1
254,1.0,2,38.8,184.0,84.0,1.0,1,1,1,4,1,3,2,1.0,6,2,4,33,3.3,2,2.0,2,1,2,7.0,1.0,1,1
255,1.0,1,37.5,72.0,29.0,2.0,1,1,1,2,1,1,1,1.0,6,1,4,35,65.0,2,2.0,2,1,2,7.0,2.0,1,9
256,1.0,1,38.7,96.0,28.0,3.0,3,4,1,3,4,2,2,3.0,7,3,4,64,9.0,2,2.0,2,1,1,2.0,2.0,1,5
257,2.0,1,37.5,52.0,12.0,1.0,1,1,1,2,3,2,2,1.0,6,3,5,36,61.0,1,1.0,1,2,2,0.0,1.0,1,4
258,1.0,1,40.8,72.0,42.0,3.0,3,1,1,2,3,1,2,1.0,6,3,4,54,7.4,3,2.0,2,1,1,1.0,1.0,4,4
259,2.0,1,38.0,40.0,25.0,3.0,1,1,1,4,3,2,1,1.0,6,4,4,37,69.0,2,2.0,1,2,2,0.0,1.0,1,4
260,2.0,1,38.4,48.0,16.0,2.0,1,1,1,1,3,2,2,1.0,6,3,2,39,6.5,2,2.0,1,2,1,3.0,1.0,1,1
261,2.0,2,38.6,88.0,28.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,35,5.9,2,2.0,1,2,2,0.0,1.0,1,4
262,1.0,1,37.1,75.0,36.0,3.0,1,3,2,4,4,2,2,3.0,5,4,4,48,7.4,3,3.2,2,1,1,1.0,2.0,2,4
263,1.0,1,38.3,44.0,21.0,3.0,1,2,1,3,3,3,2,1.0,6,1,5,44,6.5,2,4.4,1,1,1,2.0,2.0,1,9
264,2.0,1,38.0,56.0,68.0,3.0,1,1,1,3,3,1,2,1.0,6,1,4,40,6.0,2,2.0,2,1,2,5.0,2.0,1,6
265,2.0,1,38.6,68.0,20.0,2.0,1,3,1,3,3,2,1,1.0,6,1,5,38,6.5,1,2.0,1,2,1,5.0,1.0,2,4
266,2.0,1,38.3,54.0,18.0,3.0,1,2,1,2,3,2,2,3.0,5,3,4,44,7.2,3,2.0,1,2,1,2.0,1.0,2,4
267,1.0,1,38.2,42.0,20.0,3.0,1,1,1,3,3,2,2,1.0,6,3,4,47,60.0,2,2.0,1,2,2,0.0,1.0,1,4
268,1.0,1,39.3,64.0,90.0,2.0,3,1,1,3,3,1,1,2.0,6,1,5,39,6.7,2,2.0,1,1,2,3.0,1.0,1,1
269,1.0,1,37.5,60.0,50.0,3.0,3,1,1,3,3,2,2,2.0,3,3,4,35,6.5,2,2.0,2,1,2,2.0,2.0,1,9
270,1.0,1,37.7,80.0,29.0,3.0,3,6,1,5,4,1,2,3.0,6,3,1,50,55.0,3,2.0,1,1,2,4.0,2.0,1,6
271,1.0,1,38.0,100.0,30.0,3.0,3,4,2,5,4,4,3,3.0,6,4,4,52,6.6,2,2.0,1,1,2,2.0,1.0,2,4
272,1.0,1,37.7,120.0,28.0,3.0,3,3,1,5,3,3,1,1.0,6,3,4,65,7.0,3,2.0,2,1,1,4.0,2.0,1,5
273,1.0,1,38.0,76.0,29.0,3.0,3,3,1,3,4,4,2,1.0,6,3,5,42,7.3,2,2.0,2,1,2,1.0,1.0,1,2
274,1.0,2,38.8,150.0,50.0,1.0,3,6,2,5,3,2,1,1.0,6,3,4,50,6.2,2,2.0,2,1,2,4.0,2.0,1,7
275,1.0,1,38.0,36.0,16.0,3.0,1,1,1,4,2,2,3,3.0,2,3,4,37,75.0,2,1.0,2,2,2,3.0,1.0,1,1
276,2.0,1,36.9,50.0,40.0,2.0,3,3,1,1,3,2,3,1.0,7,3,4,37,6.5,2,2.0,1,2,2,3.0,1.0,1,1
277,2.0,1,37.8,40.0,16.0,1.0,1,1,1,1,1,1,2,1.0,6,1,1,37,6.8,2,2.0,1,2,2,0.0,1.0,1,4
278,2.0,1,38.2,56.0,40.0,4.0,3,1,1,2,4,3,2,2.0,7,3,4,47,7.2,1,2.5,1,2,1,8.0,3.0,1,4
279,1.0,1,38.6,48.0,12.0,3.0,1,1,1,1,1,2,2,1.0,6,3,4,36,67.0,2,2.0,1,2,2,0.0,1.0,1,4
280,2.0,1,40.0,78.0,29.0,3.0,3,5,1,2,3,1,1,1.0,6,4,1,66,6.5,2,2.0,2,1,1,8.0,4.0,1,4
281,1.0,1,38.0,70.0,16.0,3.0,4,5,2,2,3,2,2,1.0,6,4,5,60,7.5,2,2.0,2,1,2,1.0,4.0,1,4
282,1.0,1,38.2,72.0,18.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,35,6.4,2,2.0,1,1,2,3.0,1.0,2,4
283,2.0,1,38.5,54.0,29.0,1.0,1,1,1,3,1,1,2,1.0,6,1,4,40,6.8,2,7.0,1,2,1,0.0,1.0,1,4
284,1.0,1,38.5,66.0,24.0,1.0,1,1,1,3,3,1,2,1.0,6,4,5,40,6.7,1,2.0,1,1,1,3.0,1.0,1,1
285,2.0,1,37.8,82.0,12.0,3.0,1,1,2,4,3,3,1,3.0,6,3,4,50,7.0,2,2.0,2,1,2,2.0,2.0,1,5
286,2.0,2,39.5,84.0,30.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,28,5.0,2,2.0,1,2,2,0.0,1.0,1,4
287,1.0,1,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,1,1,2,2.0,1.0,2,4
288,1.0,1,38.0,50.0,36.0,3.0,1,1,1,3,2,2,2,1.0,6,3,4,39,6.6,1,5.3,1,1,1,8.0,4.0,1,4
289,2.0,1,38.6,45.0,16.0,2.0,1,2,1,1,1,2,2,1.0,6,1,1,43,58.0,2,2.0,1,2,2,0.0,1.0,1,4
290,1.0,1,38.9,80.0,44.0,3.0,3,3,1,2,3,3,2,2.0,7,3,1,54,6.5,3,2.0,2,1,2,7.0,1.0,1,1
291,1.0,1,37.0,66.0,20.0,1.0,3,2,1,4,3,3,1,1.0,6,1,5,35,6.9,2,2.0,2,1,2,3.0,1.0,1,1
292,1.0,1,38.0,78.0,24.0,3.0,3,3,1,3,3,2,2,1.0,6,3,4,43,62.0,2,2.0,2,2,2,2.0,2.0,1,9
293,2.0,1,38.5,40.0,16.0,1.0,1,1,1,2,1,1,2,1.0,6,3,2,37,67.0,2,2.0,1,2,2,0.0,1.0,1,4
294,1.0,1,38.0,120.0,70.0,4.0,1,4,2,2,4,2,2,1.0,6,3,5,55,65.0,2,2.0,2,2,2,3.0,2.0,1,5
295,2.0,1,37.2,72.0,24.0,3.0,2,4,2,4,3,3,3,1.0,6,4,4,44,7.3,3,3.3,2,1,1,2.0,2.0,1,8
296,1.0,1,37.5,72.0,30.0,4.0,3,4,1,4,4,3,2,1.0,6,3,5,60,6.8,2,2.0,2,1,2,3.0,2.0,1,5
297,1.0,1,36.5,100.0,24.0,3.0,3,3,1,3,3,3,3,1.0,6,4,4,50,6.0,3,3.4,1,1,1,2.0,2.0,1,8
298,1.0,1,37.2,40.0,20.0,3.0,1,3,1,3,3,2,2,1.0,6,4,1,36,62.0,1,1.0,2,2,2,6.0,1.0,1,2
